time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes
1604527200,1.17211,1.18598,1.17108,1.18211,0,0,0,0,0,0,0
1604613600,1.18211,1.18909,1.17953,1.18731,0,0,0,0,0,0,0
1604872800,1.18898,1.19201,1.17953,1.18126,0,0,0,0,0,0,0
1604959200,1.18126,1.1843299999999999,1.17797,1.1813,0,0,0,0,0,0,0
1605045600,1.1813,1.18327,1.17454,1.17771,0,0,0,0,0,0,0
1605132000,1.17771,1.18232,1.17586,1.18029,0,0,0,0,0,0,0
1605218400,1.18029,1.18375,1.17995,1.18347,0,0,0,0,0,0,0
1605477600,1.18407,1.18691,1.18141,1.18498,0,0,0,0,0,0,0
1605564000,1.18498,1.1893799999999999,1.18426,1.18615,0,0,0,0,0,0,0
1605650400,1.18615,1.18911,1.18492,1.18522,0,0,0,0,0,0,0
1605736800,1.18522,1.18827,1.18161,1.18727,0,0,0,0,0,0,0
1605823200,1.18727,1.18909,1.18497,1.1855499999999999,0,0,0,0,0,0,0
1606082400,1.18505,1.19061,1.18,1.18393,0,0,0,0,0,0,0
1606168800,1.18393,1.18963,1.18333,1.18898,0,0,0,0,0,0,0
1606255200,1.18898,1.19297,1.18819,1.19118,0,0,0,0,0,0,0
1606341600,1.19118,1.1941,1.18853,1.19123,0,0,0,0,0,0,0
1606428000,1.19123,1.19639,1.19067,1.19624,0,0,0,0,0,0,0
1606687200,1.19605,1.20033,1.19227,1.19232,0,0,0,0,0,0,0
1606773600,1.19232,1.20767,1.19231,1.20674,0,0,0,0,0,0,0
1606860000,1.20674,1.21185,1.20401,1.21134,0,0,0,0,0,0,0
1606946400,1.21134,1.21746,1.21011,1.21393,0,0,0,0,0,0,0
1607032800,1.21393,1.21776,1.21104,1.21212,0,0,0,0,0,0,0
1607292000,1.213,1.21664,1.20785,1.2106,0,0,0,0,0,0,0
1607378400,1.2106,1.21341,1.20953,1.21012,0,0,0,0,0,0,0
1607464800,1.21012,1.21474,1.20586,1.20783,0,0,0,0,0,0,0
1607551200,1.20783,1.2159,1.20734,1.21339,0,0,0,0,0,0,0
1607637600,1.21339,1.2163,1.21054,1.2109699999999999,0,0,0,0,0,0,0
1607896800,1.2135,1.21768,1.21157,1.21431,0,0,0,0,0,0,0
1607983200,1.21431,1.21689,1.21216,1.21501,0,0,0,0,0,0,0
1608069600,1.21501,1.22123,1.21251,1.21965,0,0,0,0,0,0,0
1608156000,1.21965,1.22728,1.219,1.22659,0,0,0,0,0,0,0
1608242400,1.22659,1.22717,1.22255,1.2252399999999999,0,0,0,0,0,0,0
1608501600,1.22209,1.22531,1.21294,1.22408,0,0,0,0,0,0,0
1608588000,1.22408,1.22572,1.21523,1.2161,0,0,0,0,0,0,0
1608674400,1.2161,1.2221,1.2154,1.21831,0,0,0,0,0,0,0
1608760800,1.21831,1.22157,1.21764,1.21794,0,0,0,0,0,0,0
1609106400,1.21794,1.22504,1.21794,1.22137,0,0,0,0,0,0,0
1609192800,1.22137,1.22753,1.22062,1.22464,0,0,0,0,0,0,0
1609279200,1.22464,1.23101,1.22449,1.22927,0,0,0,0,0,0,0
1609365600,1.22927,1.23093,1.22149,1.22157,0,0,0,0,0,0,0
1609711200,1.2239,1.23099,1.22279,1.22433,0,0,0,0,0,0,0
1609797600,1.22433,1.23057,1.22411,1.22925,0,0,0,0,0,0,0
1609884000,1.22925,1.23495,1.22655,1.23237,0,0,0,0,0,0,0
1609970400,1.23237,1.23445,1.22451,1.22697,0,0,0,0,0,0,0
1610056800,1.22697,1.22848,1.2193,1.22189,0,0,0,0,0,0,0
1610316000,1.22175,1.22251,1.21321,1.2149699999999999,0,0,0,0,0,0,0
1610402400,1.2149699999999999,1.2209699999999999,1.21371,1.22058,0,0,0,0,0,0,0
1610488800,1.22058,1.22229,1.21395,1.21568,0,0,0,0,0,0,0
1610575200,1.21568,1.2179,1.2111,1.21515,0,0,0,0,0,0,0
1610661600,1.21515,1.21625,1.20743,1.20747,0,0,0,0,0,0,0
1610920800,1.20826,1.20869,1.20535,1.20746,0,0,0,0,0,0,0
1611007200,1.20746,1.21449,1.2074,1.21285,0,0,0,0,0,0,0
1611093600,1.21285,1.21582,1.20767,1.21044,0,0,0,0,0,0,0
1611180000,1.21044,1.21732,1.21011,1.21615,0,0,0,0,0,0,0
1611266400,1.21615,1.21896,1.21516,1.21704,0,0,0,0,0,0,0
1611525600,1.21679,1.21833,1.2116,1.21368,0,0,0,0,0,0,0
1611612000,1.21368,1.2176,1.21078,1.21596,0,0,0,0,0,0,0
